Package	Version
abind	1.4-8
alabaster.base	1.10.0
alabaster.matrix	1.10.0
alabaster.ranges	1.10.0
alabaster.schemas	1.10.0
alabaster.se	1.10.0
annotate	1.88.0
AnnotationDbi	1.72.0
AnnotationFilter	1.34.0
AnnotationForge	1.52.0
AnnotationHub	4.0.0
ape	5.8-1
aplot	0.2.9
askpass	1.2.1
assertthat	0.2.1
assorthead	1.4.0
audio	0.1-11
babelgene	22.9
backports	1.5.0
base	4.5.2
base64enc	0.1-3
beachmat	2.26.0
beepr	2.0
BH	1.87.0-1
BiasedUrn	2.0.12
Biobase	2.70.0
BiocBaseUtils	1.12.0
BiocFileCache	3.0.0
BiocGenerics	0.56.0
BiocIO	1.20.0
BiocManager	1.30.27
BiocNeighbors	2.4.0
BiocParallel	1.44.0
BiocStyle	2.38.0
BiocVersion	3.22.0
biomaRt	2.66.0
Biostrings	2.78.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.2.4
bookdown	0.45
boot	1.3-32
BPCells	0.3.1
brio	1.1.5
broom	1.0.10
BSgenome	1.78.0
BSgenome.Celegans.UCSC.ce2	1.4.0
BSgenome.Hsapiens.NCBI.GRCh38	1.3.1000
BSgenome.Scerevisiae.UCSC.sacCer2	1.4.0
bslib	0.9.0
ca	0.71.1
cachem	1.1.0
callr	3.7.6
car	3.1-3
carData	3.0-5
Category	2.76.0
caTools	1.18.3
celldex	1.20.0
cellranger	1.1.0
cigarillo	1.0.0
circlize	0.4.16
class	7.3-23
cli	3.6.5
clipr	0.8.0
clue	0.3-66
cluster	2.1.8.1
clusterProfiler	4.18.2
codetools	0.2-20
colorspace	2.1-2
commonmark	2.0.0
compiler	4.5.2
ComplexHeatmap	2.26.0
conflicted	1.2.0
corrplot	0.95
cowplot	1.2.0
cpp11	0.5.2
crayon	1.5.3
crosstalk	1.2.2
curl	7.0.0
data.table	1.17.8
datasets	4.5.2
DBI	1.2.3
dbplyr	2.5.1
DelayedArray	0.36.0
DelayedMatrixStats	1.32.0
deldir	2.0-4
dendextend	1.19.1
Deriv	4.2.0
desc	1.4.3
DESeq2	1.50.2
diffobj	0.3.6
digest	0.6.39
doBy	4.7.1
doParallel	1.0.17
DOSE	4.4.0
dotCall64	1.2
dplyr	1.1.4
dqrng	0.4.1
DT	0.34.0
dtplyr	1.3.2
egg	0.4.5
ellipse	0.5.0
emmeans	2.0.0
enrichplot	1.30.3
ensembldb	2.34.0
estimability	1.5.1
evaluate	1.0.5
ExperimentHub	3.0.0
factoextra	1.0.7
FactoMineR	2.12
farver	2.1.2
fastDummies	1.7.5
fastmap	1.2.0
fastmatch	1.1-6
fgsea	1.36.0
filelock	1.0.3
fitdistrplus	1.2-4
flashClust	1.01-2
fmsb	0.7.6
FNN	1.1.4.1
fontawesome	0.5.3
fontBitstreamVera	0.1.1
fontLiberation	0.1.0
fontquiver	0.2.1
forcats	1.0.1
foreach	1.5.2
forecast	8.24.0
foreign	0.8-90
formatR	1.14
Formula	1.2-5
fracdiff	1.5-3
fs	1.6.6
futile.logger	1.4.3
futile.options	1.0.1
future	1.68.0
future.apply	1.20.0
gargle	1.6.0
gclus	1.3.3
gdtools	0.4.4
genefilter	1.92.0
geneLenDataBase	1.46.0
generics	0.1.4
GenomeInfoDb	1.46.1
GenomeInfoDbData	1.2.15
GenomicAlignments	1.46.0
GenomicFeatures	1.62.0
GenomicRanges	1.62.0
getopt	1.20.4
GetoptLong	1.1.0
ggeasy	0.1.6
ggforce	0.5.0
ggfun	0.2.0
gghalves	0.1.4
ggiraph	0.9.2
ggnewscale	0.5.2
ggplot2	4.0.1
ggplotify	0.1.3
ggpubr	0.6.2
ggrepel	0.9.6
ggridges	0.5.7
ggsci	4.1.0
ggsignif	0.6.4
ggtangle	0.0.9
ggthemes	5.2.0
ggtree	4.0.1
GlobalOptions	0.1.3
globals	0.18.0
glue	1.8.0
GO.db	3.22.0
goftest	1.2-3
googledrive	2.1.2
googlesheets4	1.1.2
GOSemSim	2.36.0
goseq	1.62.0
GOstats	2.76.0
gplots	3.3.0
graph	1.88.0
graphics	4.5.2
grDevices	4.5.2
grid	4.5.2
gridBase	0.4-7
gridExtra	2.3
